   1.00,    2.00,    3.00,    4.00,    1.00,    2.00,    3.00,    4.00,    1.00,    2.00
  11.00,   22.00,   33.00,   44.00,   11.00,   22.00,   33.00,   44.00,   11.00,   22.00
 111.00,  222.00,  333.00,  444.00,  111.00,  222.00,  333.00,  444.00,  111.00,  222.00
1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00
   1.00,    2.00,    3.00,    4.00,    1.00,    2.00,    3.00,    4.00,    1.00,    2.00
  11.00,   22.00,   33.00,   44.00,   11.00,   22.00,   33.00,   44.00,   11.00,   22.00
 111.00,  222.00,  333.00,  444.00,  111.00,  222.00,  333.00,  444.00,  111.00,  222.00
1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00
   1.00,    2.00,    3.00,    4.00,    1.00,    2.00,    3.00,    4.00,    1.00,    2.00
  11.00,   22.00,   33.00,   44.00,   11.00,   22.00,   33.00,   44.00,   11.00,   22.00
 111.00,  222.00,  333.00,  444.00,  111.00,  222.00,  333.00,  444.00,  111.00,  222.00
1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00
   1.00,    2.00,    3.00,    4.00,    1.00,    2.00,    3.00,    4.00,    1.00,    2.00
  11.00,   22.00,   33.00,   44.00,   11.00,   22.00,   33.00,   44.00,   11.00,   22.00
 111.00,  222.00,  333.00,  444.00,  111.00,  222.00,  333.00,  444.00,  111.00,  222.00
1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00
   1.00,    2.00,    3.00,    4.00,    1.00,    2.00,    3.00,    4.00,    1.00,    2.00
  11.00,   22.00,   33.00,   44.00,   11.00,   22.00,   33.00,   44.00,   11.00,   22.00
 111.00,  222.00,  333.00,  444.00,  111.00,  222.00,  333.00,  444.00,  111.00,  222.00
1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00
   1.00,    2.00,    3.00,    4.00,    1.00,    2.00,    3.00,    4.00,    1.00,    2.00
  11.00,   22.00,   33.00,   44.00,   11.00,   22.00,   33.00,   44.00,   11.00,   22.00
 111.00,  222.00,  333.00,  444.00,  111.00,  222.00,  333.00,  444.00,  111.00,  222.00
1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00
   1.00,    2.00,    3.00,    4.00,    1.00,    2.00,    3.00,    4.00,    1.00,    2.00
  11.00,   22.00,   33.00,   44.00,   11.00,   22.00,   33.00,   44.00,   11.00,   22.00
 111.00,  222.00,  333.00,  444.00,  111.00,  222.00,  333.00,  444.00,  111.00,  222.00
1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00
   1.00,    2.00,    3.00,    4.00,    1.00,    2.00,    3.00,    4.00,    1.00,    2.00
  11.00,   22.00,   33.00,   44.00,   11.00,   22.00,   33.00,   44.00,   11.00,   22.00
 111.00,  222.00,  333.00,  444.00,  111.00,  222.00,  333.00,  444.00,  111.00,  222.00
1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00, 3333.00, 4444.00, 1111.00, 2222.00
